name,free_returns,items_sold,items_status,items_shipping,price
,False,,,,
"Batman Black & White #4 CGC 9.8 MINT, DC Comics White Pages, 2021",False,,New (Other),,6879
"HUGE 25 COMIC BOOK LOT-MARVEL, DC, INDIES- FREE Shipping! VF+ to NM+ ALL",True,2629,,0,2599
Mixed LOT OF (50) Marvel / DC Comic Books ~ Bronze To Modern ~ FREE SHIPPING,False,,,0,4995
Lot of (15) DIFFERENT Spiderman Comic Books Amazing Ultimate Spectacular etc,False,255,,0,2995
New ListingHuge Lot Marvel Comic Books. See pictures Spider-Man Hulk Iron Man X-Men Venom++,False,,Pre-Owned,1499,1
"HUGE PREMIUM VINTAGE MYSTERY COMIC BOOK LOT GOLD,SILVER,BRONZE SET OF 13 COMICS",True,271,,0,3149
Tim Holt Replica Comic Books,False,0,Brand New,400,1400
New ListingDC Comics SUPERMAN Bronze Age Lot 16 Books,False,,Pre-Owned,825,1500
New Listing1989 Vintage batman books folder lot,False,,Pre-Owned,530,1500
"New ListingBlack Knight #1 (Toby Press, 1953) 1st Black Knight In Comic Books Rare GD",False,,Pre-Owned,1000,4999
"New ListingMarvel Premiere #1,#15 & 14 more books 1st App of Iron Fist, Warlock and + VF",True,,Pre-Owned,1400,16500
New Listing70's COMIC BOOK LOT ,False,,,545,3399
New ListingSpider-Man Lot of 8 Comic Books From Issue #6 to #56 - 1991 to 1995,False,,Pre-Owned,1270,1140
"Lot of (15) DIFFERENT ALL BATMAN Comic Books: Detective, Batman, Brave & Bold...",False,131,,0,2995
"HUGE 50 COMIC BOOK LOT-MARVEL,DC, INDIES, FREE SHIPPING!ALL VF to NM+ CONDITION ",False,110,,0,6099
"HUGE COMIC BOOK LOTS - MARVEL, DC, IMAGE, INDIES, NO DUPES LIQUIDATION (10 ct)",False,,Pre-Owned,0,1795
"== HUMANOIDS GRAPHIC NOVEL SERIES SET,2 BOOKS,FINAL INCAL & THE INCAL,HARDCOVER",False,0,,850,5000
New Listing14 1950's 1960's Different Comic Books NICE LOT,False,,Pre-Owned,1795,99
