name,free_returns,items_sold,items_status,items_shipping,price
,False,,,,
"Batman Black & White #4 CGC 9.8 MINT, DC Comics White Pages, 2021",False,,New (Other),,6879
"HUGE 25 COMIC BOOK LOT-MARVEL, DC, INDIES- FREE Shipping! VF+ to NM+ ALL",True,2630,,0,2599
Mixed LOT OF (50) Marvel / DC Comic Books ~ Bronze To Modern ~ FREE SHIPPING,False,,,0,4995
Lot of (15) DIFFERENT Spiderman Comic Books Amazing Ultimate Spectacular etc,False,255,,0,2995
"New Listing11 VINTAGE ROMANCE COMIC BOOKS - LOVE DIARY,TEEN CONFESSIONS + OTHERS",False,,Pre-Owned,999,999
"HUGE PREMIUM VINTAGE MYSTERY COMIC BOOK LOT GOLD,SILVER,BRONZE SET OF 13 COMICS",True,271,,0,3149
Tim Holt Replica Comic Books,False,0,Brand New,400,1400
New ListingMarvel Comics avengers x-men AXIS 1-9 complete set lot of 9 comic books,False,,Pre-Owned,0,2500
New ListingMarvel Comic books - huge lot of rare 30 cent variants,False,,Pre-Owned,1500,99
New ListingHuge Lot Marvel Comic Books. See pictures Spider-Man Hulk Iron Man X-Men Venom++,False,,Pre-Owned,1499,1
New ListingMarvel Comics CIVIL WAR II 0-8 plus prologue complete set lot of 10 comic books,False,,Pre-Owned,0,2000
New ListingDC Action Comics Superman Comic Book Lot ,True,,Pre-Owned,400,999
New Listing70's COMIC BOOK LOT ,False,,,545,3399
"Lot of (15) DIFFERENT ALL BATMAN Comic Books: Detective, Batman, Brave & Bold...",False,131,,0,2995
"HUGE 50 COMIC BOOK LOT-MARVEL,DC, INDIES, FREE SHIPPING!ALL VF to NM+ CONDITION ",False,110,,0,6099
"HUGE COMIC BOOK LOTS - MARVEL, DC, IMAGE, INDIES, NO DUPES LIQUIDATION (10 ct)",False,,Pre-Owned,0,1795
"== HUMANOIDS GRAPHIC NOVEL SERIES SET,2 BOOKS,FINAL INCAL & THE INCAL,HARDCOVER",False,0,,850,5000
"New ListingLOT OF 11 VINTAGE COMIC BOOKS, Archie Flintstones.  Excellent Condition.",False,,Pre-Owned,1500,1999
