name,free_returns,items_sold,items_status,items_shipping,price
,False,,,,
"Cape Robbin Minecrft Slide Sandal Black Multi Stone Buckle Mule Slides (10,",True,,Brand New,0,3026
Croc Classic Clog Unisex Slide Men Women Shoe Ultra Light Water-Friendly Sandals,True,63,New (Other),0,2899
USA Croc Classic Unisex Slide Men Women Shoes Ultra Light Water-Friendly Sandals,True,142,New (Other),0,2999
Women's Vertico Sandals - Non Slip Shower Poolside Slides,True,,New (Other),0,1099
PUMA Women's Cool Cat Sport Sandals,True,0,Brand New,0,1199
DREAM PAIRS Women's Low Chunky Heel Sandals Open Toe Ankle Strap Dress Shoes,False,0,Brand New,0,2469
PUMA Women's Cool Cat Sherpa Sandals,True,0,Brand New,0,1199
PUMA Men's Cool Cat Formstrip Sandals,True,0,Brand New,0,1199
Adidas Adissage Black Slides Shower Sandal Athletic EG6517 Unisex Sizes 5-13,True,32,New (Other),,2399
PUMA Women's Cool Cat Sandals,True,0,Brand New,0,1199
PUMA Women's Cool Cat Dark Prismatic Wns Sandals,True,0,Brand New,0,1199
PUMA Men's Tuff Mocc Jersey Slippers,True,0,Brand New,0,1999
PUMA Women's Cool Cat Echo Wns Sandals,True,0,Brand New,0,1199
Alpine Swiss Mens Flip Flops Beach Sandals Lightweight EVA Sole Comfort Thongs,False,,Brand New,0,1299
Women's Real Fox Fur Slides Fuzzy Furry Slippers Sliders Sandals Flat Shoes,False,,New (Other),0,1895
Crocs Unisex Bayaband Slide,True,0,Brand New,499,2449
DREAM PAIRS Women's Arch Support Soft Cushion Flip Flops Thong Sandals Slippers,False,,Brand New,0,2379
Cool Cat Unisex Slides,True,0,Brand New,0,1199
Pillow Slides Sandals Ultra-Soft Slippers Cloud Shoes Anti-Slip Black NWT,True,,Brand New,0,1299
PUMA Women's Cool Cat Sport Iridescent Sandals,True,0,Brand New,0,1199
PUMA Women's Cool Cat Hyrbid Sandals,True,0,Brand New,0,1199
PUMA Men's Cool Cat Camo Sandals,True,0,Brand New,0,1199
Cool Cat Bold 2 Unisex Slides,True,0,Brand New,0,1199
in stock - Croc Classic Clog Unisex Slide Men Women Shose Ultra Light Sandals US,False,28,New (Other),0,2499
PUMA Women's Cool Cat Cadet Sandals,True,0,Brand New,0,1199
Faux Fur Slides Fuzzy Fluffy Slippers Flat Soft Sandals Open Toe - US Seller,True,,Brand New,,1999
adidas Adilette Comfort Slides Women's,True,,Brand New,0,2600
Croc Classic Clogs Original Slide Men Women Shoes Ultra Light Friendly Sandals,True,54,New (Other),0,2754
DREAM PAIRS Women's Fashion Arch Flip Flops Lightweight Thong  Sandals Slippers,False,,Brand New,0,2379
Mens Fashion Summer Casual Shoes Outdoor Sandals Hole Shoe Couples Beach Slipper,False,12,New (Other),0,2399
