name,free_returns,items_sold,items_status,items_shipping,price
,False,,,,
9PC Precision Screwdriver Set – Magnetic Pocket Pen – Watch Glasses Electronics,False,337,Brand New,1961,541
Screwdriver Set Torx Tools For MacBook iPhone Samsung PC Tablet Laptop 25 in 1,True,,Brand New,,659
60 in 1 Magnetic Precision Screwdriver Set Computer Pc Phone Repair Tool Kit US,False,,Brand New,0,1359
25 IN1 Small MINI REPAIR PRECISION SCREWDRIVER TORX TOOL KIT SET PHONES FIX US,False,184,Brand New,0,629
12 PC Torx Screwdriver Set Magnetic T6 - T40 Security Tamper Proof Star S2 Steel,True,,Brand New,0,1899
Screwdriver Set Torx Tools For MacBook iPhone Samsung PC Tablet Laptop 25 in 1,False,,Brand New,0,595
100pcs Security Bit Screwdriver Bit Set Torx Star Pozi Hex Tamper Proof Bolts US,True,,Brand New,,1479
USA 50Pcs Extra Long Security Bits Hex Torx Star Spline Flat Screwdriver Bit Set,True,,Brand New,0,2098
18pc Screwdriver Set Magnetic Precision Tool Kits SL/PH/T Heavy Duty CRV Steel,True,95,Brand New,0,2099
10 Pcs Magnetic Screwdriver Set Demagnetizer Magnetizer Tool Phillips Flat Head,True,,Brand New,0,1699
11PC Torx Bit Set Quick Change Connect Impact Driver Drill Security Tamper Proof,True,,Brand New,0,1199
23 in 1 Precision Screwdriver Set Phillips Slotted Torx Star Hex Bits Ratchet,True,,Brand New,0,949
11PC Small Precision Screwdriver Kit Phillips Cross Flat Slot Slotted Head Set ,True,710,Brand New,100,398
45 Pieces Precision Screwdriver set Kit Tool Laptop PC phones Drones USA SHIP,False,,Brand New,0,1199
14 IN 1 Small MINI REPAIR PRECISION SCREWDRIVER TORX TOOL KIT SET PHONES FIX,False,1322,Brand New,0,695
"Craftsman 5 Piece Torx Screwdriver Set, 9-41404 NEW",False,,Brand New,,1419
10 PC Tamper Proof Star Key Set Folding Locking Torx security screwdriver T6-T30,True,,Brand New,0,749
11PCS Precision Multifunction Mini Small Screwdriver Set with Flathead Phillips ,True,135,Brand New,0,699
"10Pc Magnetic Extension Socket Drill Bit Holder Screwdriver 1/4"" Hex Shank Quick",True,,Brand New,0,1169
VCT 8pc Piece Hammer Head Screwdriver Commercial Grade Set Magnetic Tip ,True,,Brand New,,1995
8pc Electrician's Insulated Magnetic Electrical Hand Screwdriver Tool Set New,True,,Brand New,0,1548
7 pc Precision Screwdriver Set Jeweler Phillips Flat Head Magnetic Tips,True,1809,Brand New,,695
25 IN1 Small MINI REPAIR PRECISION SCREWDRIVER TORX TOOL KIT SET PHONES FIX US,True,,Brand New,0,635
11pcs T6-T40 Magnetic Head Torx Screwdriver Bit Set Security Tamper Proof Star,False,,Brand New,0,858
23PC Mini Ratchet Wrench Screwdriver Hex Torx Bit Quick Change Offset Reversible,True,,Brand New,0,925
Macbook Pro 25 in 1 Repair Tool Screwdriver Kit  For Macbook Air Smart phones,True,,Brand New,,799
MINI FLAT SCREWDRIVER WITH MAGNET  TOP POCKET CLIP FOR PROFESSIONAL TECHS 5 PCS,True,,Brand New,0,1549
DEWALT 10pc Screwdriver Set DWHT62513 New,True,228,Brand New,,2534
NEW Craftsman Screwdriver Phillips or Slotted/Flat Choose Size  Fast Shipping  ,False,109,Brand New,0,495
14 IN 1 Small MINI REPAIR PRECISION SCREWDRIVER TORX TOOL KIT SET PHONES FIX,False,,Brand New,0,675
"24Pc Security Torx Bit Tamper Resistant Star Set S2 Steel 1"" & 2.3"" Long T5- T40",True,,Brand New,0,1199
8pcs Torx Screwdriver Bit Set Hex Security Magnetic Head 100MM Extra Long IN USA,True,,Brand New,0,964
11x Torx Screwdriver Bit Set T6-T40 75mm Hex Security Magnetic Head Tamper Proof,True,,Brand New,0,1088
